step,vx_100_100,vy_100_100
505,5.0018894672e-01,-4.9951744080e-01
506,5.0015807152e-01,-4.9957096577e-01
507,5.0011962652e-01,-4.9966239929e-01
508,5.0019103289e-01,-4.9974656105e-01
509,5.0022006035e-01,-4.9977192283e-01
510,5.0023561716e-01,-4.9978432059e-01
511,5.0021189451e-01,-4.9977597594e-01
512,5.0016832352e-01,-4.9968898296e-01
513,5.0015598536e-01,-4.9957138300e-01
514,5.0016021729e-01,-4.9951985478e-01
515,5.0023484230e-01,-4.9962130189e-01
516,5.0035756826e-01,-4.9972552061e-01
517,5.0044548512e-01,-4.9975621700e-01
518,5.0037008524e-01,-4.9971663952e-01
519,5.0022196770e-01,-4.9962741137e-01
520,5.0017327070e-01,-4.9960908294e-01
521,5.0013250113e-01,-4.9962601066e-01
522,5.0020688772e-01,-4.9970397353e-01
523,5.0026762486e-01,-4.9978354573e-01
524,5.0030076504e-01,-4.9976572394e-01
525,5.0029772520e-01,-4.9966716766e-01
526,5.0025272369e-01,-4.9959355593e-01
527,5.0023645163e-01,-4.9954858422e-01
528,5.0024998188e-01,-4.9955946207e-01
529,5.0021588802e-01,-4.9950644374e-01
530,5.0024086237e-01,-4.9946528673e-01
531,5.0020772219e-01,-4.9946776032e-01
532,5.0023818016e-01,-4.9952194095e-01
533,5.0028932095e-01,-4.9961605668e-01
534,5.0033164024e-01,-4.9969351292e-01
535,5.0031358004e-01,-4.9978688359e-01
536,5.0023949146e-01,-4.9978667498e-01
537,5.0016790628e-01,-4.9974459410e-01
538,5.0011950731e-01,-4.9974948168e-01
539,5.0013637543e-01,-4.9974516034e-01
540,5.0019466877e-01,-4.9966287613e-01
541,5.0022697449e-01,-4.9960756302e-01
542,5.0025123358e-01,-4.9954044819e-01
543,5.0024884939e-01,-4.9953988194e-01
544,5.0030517578e-01,-4.9962738156e-01
545,5.0035303831e-01,-4.9972078204e-01
546,5.0039458275e-01,-4.9978831410e-01
547,5.0027471781e-01,-4.9972590804e-01
548,5.0016540289e-01,-4.9961721897e-01
549,5.0013256073e-01,-4.9961093068e-01
550,5.0018072128e-01,-4.9969103932e-01
551,5.0026041269e-01,-4.9974143505e-01
552,5.0025779009e-01,-4.9972504377e-01
553,5.0013601780e-01,-4.9971529841e-01
554,5.0006765127e-01,-4.9961188436e-01
555,5.0007307529e-01,-4.9954235554e-01
556,5.0006359816e-01,-4.9954867363e-01
557,5.0009870529e-01,-4.9963095784e-01
558,5.0019788742e-01,-4.9962219596e-01
559,5.0026839972e-01,-4.9955949187e-01
560,5.0027674437e-01,-4.9954682589e-01
561,5.0028657913e-01,-4.9964123964e-01
562,5.0031417608e-01,-4.9975165725e-01
563,5.0035297871e-01,-4.9978739023e-01
564,5.0029397011e-01,-4.9978008866e-01
565,5.0017845631e-01,-4.9972882867e-01
566,5.0012242794e-01,-4.9966135621e-01
567,5.0010317564e-01,-4.9959176779e-01
568,5.0016325712e-01,-4.9951270223e-01
569,5.0022447109e-01,-4.9943560362e-01
570,5.0020408630e-01,-4.9936348200e-01
571,5.0018846989e-01,-4.9936333299e-01
572,5.0014287233e-01,-4.9942585826e-01
573,5.0017434359e-01,-4.9952653050e-01
574,5.0022029877e-01,-4.9965423346e-01
575,5.0019329786e-01,-4.9967458844e-01
576,5.0014686584e-01,-4.9962761998e-01
577,5.0010079145e-01,-4.9954730272e-01
578,5.0015592575e-01,-4.9954435229e-01
579,5.0026005507e-01,-4.9955865741e-01
580,5.0034976006e-01,-4.9959206581e-01
581,5.0029748678e-01,-4.9955177307e-01
582,5.0018703938e-01,-4.9957227707e-01
583,5.0014817715e-01,-4.9952077866e-01
584,5.0017935038e-01,-4.9954214692e-01
585,5.0017243624e-01,-4.9962890148e-01
586,5.0018996000e-01,-4.9973157048e-01
587,5.0017559528e-01,-4.9970051646e-01
588,5.0014430285e-01,-4.9960994720e-01
589,5.0007516146e-01,-4.9952468276e-01
590,5.0005143881e-01,-4.9946913123e-01
591,5.0012552738e-01,-4.9949255586e-01
592,5.0017803907e-01,-4.9955525994e-01
593,5.0018680096e-01,-4.9958661199e-01
594,5.0015610456e-01,-4.9956724048e-01
595,5.0007545948e-01,-4.9950203300e-01
596,4.9999859929e-01,-4.9944281578e-01
597,5.0001752377e-01,-4.9940535426e-01
598,5.0009083748e-01,-4.9944040179e-01
599,5.0019395351e-01,-4.9954164028e-01
600,5.0028216839e-01,-4.9966895580e-01
601,5.0030183792e-01,-4.9975305796e-01
602,5.0025755167e-01,-4.9981519580e-01
603,5.0022268295e-01,-4.9980515242e-01
604,5.0013160706e-01,-4.9964621663e-01
