step,volume,free_surface_area,vx_10_20,pressure_25_30
223,1.5676330328e+00,2.9299983978e+00,5.2498303354e-02,9.2031191406e+03
224,1.5675330162e+00,2.9349987507e+00,5.2941177040e-02,9.2012353516e+03
225,1.5675082207e+00,2.9499986172e+00,5.6070983410e-02,9.2043886719e+03
226,1.5673583746e+00,2.9499986172e+00,4.7464419156e-02,9.2843300781e+03
227,1.5672584772e+00,2.9499986172e+00,5.4046954960e-02,9.1735146484e+03
228,1.5672835112e+00,2.9649984837e+00,4.7942973673e-02,9.2998916016e+03
229,1.5675337315e+00,2.9499983788e+00,5.5688116699e-02,9.2047089844e+03
230,1.5674086809e+00,2.9549984932e+00,4.8975083977e-02,9.3753222656e+03
231,1.5674588680e+00,2.9549984932e+00,5.0321418792e-02,9.2989716797e+03
232,1.5676090717e+00,2.9799983501e+00,4.9962550402e-02,9.2669628906e+03
233,1.5669590235e+00,2.9699983597e+00,4.9742266536e-02,9.2496972656e+03
234,1.5672591925e+00,2.9649984837e+00,5.4656643420e-02,9.3380507812e+03
235,1.5673843622e+00,2.9699985981e+00,4.9593254924e-02,9.2844453125e+03
236,1.5673593283e+00,2.9699983597e+00,5.7405143976e-02,9.2805312500e+03
237,1.5674594641e+00,2.9849987030e+00,5.4788805544e-02,9.3861406250e+03
238,1.5674846172e+00,2.9799985886e+00,5.5948913097e-02,9.2088837891e+03
239,1.5674096346e+00,3.0149981976e+00,5.0532452762e-02,9.4198955078e+03
240,1.5670847893e+00,2.9849984646e+00,5.5022690445e-02,9.2543251953e+03
241,1.5672348738e+00,2.9849987030e+00,5.2961323410e-02,9.3860302734e+03
242,1.5674850941e+00,2.9899983406e+00,5.1217466593e-02,9.3585908203e+03
243,1.5674351454e+00,3.0049986839e+00,5.2567850798e-02,9.3967294922e+03
244,1.5674853325e+00,3.0099983215e+00,5.2709601820e-02,9.3417001953e+03
245,1.5671852827e+00,3.0249986649e+00,5.2669249475e-02,9.3900917969e+03
246,1.5671353340e+00,2.9999983311e+00,5.4160322994e-02,9.4586406250e+03
247,1.5671104193e+00,3.0049984455e+00,5.3712692112e-02,9.3608291016e+03
248,1.5671856403e+00,3.0099983215e+00,5.4685086012e-02,9.3693017578e+03
249,1.5672855377e+00,3.0149984360e+00,5.0702109933e-02,9.3636611328e+03
250,1.5674856901e+00,3.0299983025e+00,5.5782139301e-02,9.3762324219e+03
251,1.5674858093e+00,3.0449984074e+00,5.1119223237e-02,9.4020234375e+03
252,1.5669858456e+00,3.0299985409e+00,5.1760666072e-02,9.3471552734e+03
253,1.5671859980e+00,3.0249984264e+00,5.3105633706e-02,9.3852343750e+03
254,1.5672111511e+00,3.0399985313e+00,5.5341608822e-02,9.4702832031e+03
255,1.5672360659e+00,3.0349984169e+00,5.4763164371e-02,9.1966318359e+03
256,1.5672111511e+00,3.0499985218e+00,5.2480384707e-02,9.4824892578e+03
257,1.5675613880e+00,3.0749983788e+00,5.4104529321e-02,9.3621328125e+03
258,1.5668112040e+00,3.0499982834e+00,5.2453234792e-02,9.5823437500e+03
