step,vx_25_10,vy_25_10,Cd,Cl,singularity_count
250,3.8271972537e-01,-1.4612227678e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
251,3.8272586465e-01,-1.4611721039e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
252,3.8271152973e-01,-1.4612087607e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
253,3.8272416592e-01,-1.4611928165e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
254,3.8270962238e-01,-1.4611025155e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
255,3.8271984458e-01,-1.4612095058e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
256,3.8270497322e-01,-1.4610974491e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
257,3.8271796703e-01,-1.4611460268e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
258,3.8270118833e-01,-1.4611154795e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
259,3.8271251321e-01,-1.4610888064e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
260,3.8270023465e-01,-1.4611192048e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
